customer_id,full_name,email,city,signup_date
1,Alice Johnson,alice.johnson@gmail.com,New York,2022-03-15
2,Bob Smith,bsmith_1990@yahoo.com,Chicago,2022-07-22
3,Clara Nguyen,clara.nguyen@gmail.com,San Jose,2023-01-05
4,David Lee,david_lee@outlook.com,Houston,2021-11-30
5,Eva Martinez,eva.martinez@gmail.com,Phoenix,2023-06-18
6,Frank Brown,frankbrown@hotmail.com,Chicago,2022-09-09
7,Grace Kim,grace.kim@gmail.com,New York,2023-03-27
8,Henry Wilson,hwilson@work-email.com,Dallas,2021-05-14
9,Isla Thompson,isla.t@gmail.com,San Jose,2023-08-01
10,Jake Davis,jake_davis_99@yahoo.com,Phoenix,2022-12-20
